person_id,predict_horizon,x,y,FDE_mean,FDE_std,FDE_min,ADE_mean,ADE_std,ADE_min
9103800,1,-20.563,4.824,0.289,0.11,0.209,0.289,0.11,0.209
9103800,2,-19.508,5.079,0.383,0.163,0.223,0.336,0.13,0.226
9103800,3,-18.202,5.474,0.936,0.165,0.703,0.536,0.139,0.385
9103800,4,-16.37,5.772,1.186,0.33,0.808,0.698,0.17,0.491
9103800,5,-15.223,5.69,2.035,0.639,0.974,0.966,0.238,0.714
9103800,6,-13.373,5.275,2.488,0.934,0.885,1.219,0.343,0.743
9103800,7,-12.108,5.052,2.919,1.182,0.84,1.462,0.456,0.757
9103800,8,-10.866,4.843,3.806,1.257,1.571,1.755,0.551,0.858
9103800,9,-9.032,4.461,4.559,1.369,2.102,2.067,0.638,0.997
9103800,10,-7.53,4.046,5.508,1.493,2.815,2.411,0.72,1.178
9103800,11,-5.863,3.485,5.976,1.661,2.959,2.735,0.802,1.34
9103800,12,-4.383,3.342,4.416,1.344,3.072,2.151,0.666,1.485
9103800,13,-3.104,3.019,4.92,1.309,3.611,2.364,0.716,1.648
9103800,14,-1.337,2.609,5.22,1.372,3.847,2.568,0.763,1.805
